Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
5/3/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.2,71.2,67,172
5/5/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.6,62.4,66,156
5/9/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,55.4,81,199
5/12/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.3,48.6,151,352
15-05-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.8,54.7,103,236
18-05-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.9,55,81,166
21-05-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,17.9,54.2,96,177
24-05-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.3,63.5,81,175
27-05-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,69.9,191,445
6/2/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15,64.6,77,198
6/5/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.5,56.8,152,351
6/8/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.9,57.4,53,135
6/11/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12,55.7,116,261
14-06-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.4,49.6,97,201
17-06-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.2,40.8,63,132
22-06-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.6,58.6,65,151
25-06-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.3,58,82,185
27-06-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.1,64,113,251
7/2/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.5,52.1,81,194
7/4/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.9,50.2,70,163
7/9/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.9,57.6,78,169
14-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,56.4,80,203
17-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.5,47.5,45,108
20-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.1,43,35,78
22-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7,37.5,51,127
26-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,5.2,35.1,30,83
29-07-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.1,34.9,36,124
8/4/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.8,49.3,124,240
8/6/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.1,56.6,134,172
